TSK,PSFC,X.U10.,X.V10.,X.Q2.,RAINC,RAINNC,SNOW,TSLB,SMOIS,date_time,Windspeed
283.7,101303,6.3,1.9,0.00566,0,0,0,273.2,1,01.05.2018.00.00,6.58
284.3,100812,8.6,0.4,0.00575,0,0.1,0,273.2,1,01.05.2018.00.00,8.61
288.5,101466,5.8,1.8,0.00577,0,0,0,273.2,1,01.05.2018.00.00,6.07
283.9,101202,5.9,3.4,0.00544,0,0,0,273.2,1,01.05.2018.00.00,6.81
285.1,101382,6.5,4.1,0.00557,0,0,0,273.2,1,01.05.2018.00.00,7.69
284.75,101310,6.3,0.5,0.00533,0,0,0,273.2,1,01.05.2018.00.00,6.32
284.4,101461,6,0.3,0.0055,0,0,0,273.2,1,01.05.2018.00.00,6.01
284.8,101424,4,2.3,0.00562,0,0,0,273.2,1,01.05.2018.00.00,4.61
272.7,100177,2,2.1,0.00402,0,0.2,0,279.1,0.3102,01.05.2018.00.00,2.9
274.6,100808,3.7,0.5,0.00423,0,0,0,278,0.2763,01.05.2018.00.00,3.73
283.6,101160,5.9,4.7,0.0055,0,0,0,273.2,1,01.05.2018.00.00,7.54
284.1,101278.5,5.7,2,0.00573,0,0,0,273.2,1,01.05.2018.00.00,6.04
285.6,101397,6.2,3.1,0.00554,0,0,0,273.2,1,01.05.2018.00.00,6.93
284.8,101331,7.35,2.1,0.0057,0,0,0,273.2,1,01.05.2018.00.00,7.64
282.4,100576,8.5,0.2,0.00493,0,0,0,273.2,1,01.05.2018.00.00,8.5
284.2,101473,5.7,-0.9,0.0054,0,0,0,273.2,1,01.05.2018.00.00,5.77
283.7,101178,6.4,1,0.00543,0,0,0,273.2,1,01.05.2018.00.00,6.48
285,101362,6,2.1,0.00573,0,0,0,273.2,1,01.05.2018.00.00,6.36
284.6,101286,6.1,3.7,0.00556,0,0,0,273.2,1,01.05.2018.00.00,7.13
277.9,99446,4,2.3,0.00519,0,0.6,0,279.7,0.3258,01.05.2018.00.00,4.61
284.1,101423,3.9,2,0.00551,0,0,0,273.2,1,01.05.2018.00.00,4.38
276.5,99205,3.8,2.8,0.00478,0,0.4,0,279.1,0.3269,01.05.2018.00.00,4.72
283.4,100990,5.449999999999999,-1,0.00551,0,0,0,273.2,1,01.05.2018.00.00,5.54
285.1,101326,7.1,4.9,0.00567,0,0,0,273.2,1,01.05.2018.00.00,8.63
283.3,101223,7.1,1.5,0.00569,0,0,0,273.2,1,01.05.2018.00.00,7.26
283.7,101378,6.1,2.5,0.00568,0,0,0,273.2,1,01.05.2018.00.00,6.59
283.9,100907,9.2,0.2,0.00563,0,0,0,273.2,1,01.05.2018.00.00,9.2
288.4,101464,5.8,2.1,0.00576,0,0,0,273.2,1,01.05.2018.00.00,6.17
285.5,101458,5.9,2.7,0.00571,0,0,0,273.2,1,01.05.2018.00.00,6.49
276.8,99274,3.6,3,0.00492,0,0.5,0,279.1,0.3261,01.05.2018.00.00,4.69
284.1,101181,6.3,5.7,0.00568,0,0,0,273.2,1,01.05.2018.00.00,8.5
285.9,101371,6.2,2.6,0.00572,0,0,0,273.2,1,01.05.2018.00.00,6.72
286.25,100068,2.3,1.5,0.00401,0,0,0,279.1,0.3049,01.05.2018.00.00,2.75
286.6,101418,6.1,2.9,0.00557,0,0,0,273.2,1,01.05.2018.00.00,6.75
283.9,101064,8.6,-0.2,0.00564,0,0,0,273.2,1,01.05.2018.00.00,8.6
285.2,101377,6.7,4.5,0.0056,0,0,0,273.2,1,01.05.2018.00.00,8.07
279.3,100190,4.7,0.2,0.00433,0,0.1,0,280.4,0.3127,01.05.2018.00.00,4.7
284.7,101285,6.7,4.9,0.00569,0,0,0,280.5,1,01.05.2018.00.00,8.3
279.1,100392,4.5,1,0.00436,0,0.5,0,280.6,0.66205,01.05.2018.00.00,4.61
272.5,99865,2.3,2.2,0.00393,0,0.2,0,278.3,0.3241,01.05.2018.00.00,3.18
284.9,101365,5.9,2.1,0.00485,0,0,0,273.2,1,01.05.2018.00.00,6.26
283.9,101337,5.7,2.2,0.00577,0,0,0,273.2,1,01.05.2018.00.00,6.11
285,101314,6,3.2,0.00561,0,0,0,273.2,1,01.05.2018.00.00,6.8
284.4,101178,6.8,6.2,0.00571,0,0,0,273.2,1,01.05.2018.00.00,9.2
277.2,98862,4.3,2.7,0.00501,0,0.5,0,279.3,0.3262,01.05.2018.00.00,5.08
274.4,100158,2,2.6,0.00442,0,0.2,0,278.6,0.3233,01.05.2018.00.00,3.28
279.4,101327,6.2,1.7,0.005015,0,0,0,273.2,1,01.05.2018.00.00,6.43
284.4,101463,5.9,1.8,0.00561,0,0,0,273.2,1,01.05.2018.00.00,6.17
283.7,101262,6.2,1.6,0.00578,0,0,0,273.2,1,01.05.2018.00.00,6.4
